event_id,stock_code,stock_name,market_code,relation_type,relation_strength,relation_layer,note,event_day_pct,event_day_ar,ret_close_t2,ret_close_t5,ret_close_t7,car_t2,car_t5,car_t7
A_20250429_600051,600051,宁波联合,sh.600051,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.00%, 换手率=4.75%",-10.0,-9.827003,-13.624999999999988,-12.749999999999995,-12.5,-14.460896000000002,-14.430395000000003,-15.444260000000002
A_20250407_600052,600052,东望时代,sh.600052,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.05%, 换手率=0.94%",-10.0457,-3.000185,-13.013698630136993,-5.022831050228316,-8.219178082191792,-8.995048,-2.0132209999999997,-5.7656149999999995
A_20250912_600052,600052,东望时代,sh.600052,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.96%, 换手率=9.25%",9.9617,10.534178,8.429118773946342,3.0651340996168397,1.5325670498084198,9.11035,4.590444,2.822468000000001
A_20250407_600053,600053,九鼎投资,sh.600053,跌停异动,1.0,直接,"规则抽取：涨跌幅=-10.01%, 换手率=1.26%",-10.0149,-2.969385000000001,-9.940209267563526,1.4200298953662038,-1.4947683109118204,-5.520148000000001,4.903078999999999,1.8640849999999984
A_20250414_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.97%, 换手率=1.96%",9.9676,9.737618,6.807131280388967,15.153970826580231,9.319286871961108,6.698624000000001,14.415536000000001,9.241927
A_20250418_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.99%, 换手率=3.97%",9.9922,9.984223,9.289617486338786,8.97736143637784,4.996096799375471,9.055083,8.91666,5.650188
A_20250506_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=9.97%, 换手率=3.71%",9.9693,8.962240000000001,11.503067484662587,11.349693251533743,13.190184049079768,9.358015000000002,8.127376000000002,9.520666000000002
A_20250519_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.01%, 换手率=1.47%",10.0069,10.313916,10.760795065113093,0.0,-1.6449623029472282,10.841883,2.3640619999999988,1.353781999999998
A_20250520_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.03%, 换手率=7.89%",10.0312,9.488914,-6.0436137071651075,-8.473520249221188,-9.096573208722747,-6.091000000000002,-6.727946000000002,-7.8731870000000015
A_20250811_600053,600053,九鼎投资,sh.600053,涨停异动,1.0,直接,"规则抽取：涨跌幅=10.03%, 换手率=8.18%",10.0308,9.603423,33.16923076923077,14.461538461538481,12.49230769230769,28.322502999999998,12.403042,9.996213000000001
